date,description,amount
2025-01-08,ONLINE DONATION STRIPE PAYOUT BATCH 4471,1250.00
2025-01-12,IL DEPT HUMAN SVCS CONTRACT PMT Q1 YOUTH PRG,8750.00
2025-01-15,ANNUAL MEMBER DUES 14 @ 25,350.00
2025-01-31,INTEREST PAID FIRST COMMUNITY BK,9.14
2025-02-03,ACH PAYROLL ADP RUN 0203,(3120.00)
2025-02-04,VENMO J MARTINEZ SAT WORKSHOP INSTRUCTION,(600.00)
2025-02-05,ELGIN PROPERTIES LLC FEB RENT,(1450.00)
2025-02-07,COMED ELECTRIC 8837 ACCT 4410-22,(212.37)
2025-02-11,USPS PO 60120 STAMPS BULK,(146.00)
2025-02-14,CHECK 1187 GRAINGER FOUNDATION GRANT,5000.00
2025-02-18,ACH PAYROLL ADP RUN 0218,(3120.00)
2025-02-20,AMZN MKTP US ART SUPPLIES YOUTH PRG,(287.63)
2025-02-28,INTEREST PAID FIRST COMMUNITY BK,9.02
2025-03-03,ACH PAYROLL ADP RUN 0303,(3120.00)
2025-03-04,SQUARE INC DEPOSIT SPRING GALA TICKETS,"$4,200.00"
2025-03-05,ELGIN PROPERTIES LLC MAR RENT,(1450.00)
2025-03-06,CITY OF ELGIN WATER SEWER 0306,(88.15)
2025-03-07,HOLIDAY INN ELGIN BANQUET RM SPRING GALA DEP,(1500.00)
2025-03-08,RAFFLE CASH DEPOSIT SPRING GALA,830.00
2025-03-10,PARTY CITY 2211 DECOR GALA,(214.90)
2025-03-12,SQUARE INC DEPOSIT TSHIRT SALES,640.00
2025-03-14,CUSTOMINK TSHIRTS 60 UNITS,(412.00)
2025-03-17,ACH PAYROLL ADP RUN 0317,(3120.00)
2025-03-19,VENMO J MARTINEZ SAT WORKSHOP INSTRUCTION,(600.00)
2025-03-21,STATE FARM INS PREM ANNUAL GL POLICY,(1180.00)
2025-03-24,VISTAPRINT SPRING NEWSLETTER 500 PCS,(238.40)
2025-03-31,INTEREST PAID FIRST COMMUNITY BK,9.31
2025-04-01,ACH PAYROLL ADP RUN 0401,(3120.00)
2025-04-03,ELGIN PROPERTIES LLC APR RENT,(1450.00)
2025-04-04,COMED ELECTRIC 8837 ACCT 4410-22,(178.22)
2025-04-08,ZELLE FROM R PATEL,500.00
2025-04-09,ZELLE FROM R PATEL,500.00
2025-04-11,IL DEPT HUMAN SVCS CONTRACT PMT Q2 YOUTH PRG,8750.00
2025-04-14,SUMMER CAMP REG FEES SQUARE DEPOSIT,2160.00
2025-04-15,ACH PAYROLL ADP RUN 0415,(3120.00)
2025-04-17,WALMART 1938 SNACKS YOUTH PRG,(96.48)
2025-04-18,ELGIN LITTLE LEAGUE SPONSOR REFUND,(250.00)
2025-04-22,QUICKBOOKS ONLINE SUBSCR,(65.00)
2025-04-25,CHECK 1192 DELIA FIGUEROA CPA,(750.00)
2025-04-28,CHECK 1193 TOWN OF ELGIN PARK PERMIT,(40.00)
2025-04-29,SQUARE INC DEPOSIT TSHIRT SALES,310.00
2025-04-30,INTEREST PAID FIRST COMMUNITY BK,9.47
2025-05-01,ACH PAYROLL ADP RUN 0501,(3120.00)
2025-05-02,CHECK 1194 MEMBER DUES REFUND K OWENS,(25.00)
2025-05-05,ELGIN PROPERTIES LLC MAY RENT,(1450.00)
2025-05-06,PAYPAL GIVING FUND DISBURSEMENT,975.00
2025-05-09,ELGIN COMMUNITY FOUNDATION SCHOLARSHIP GRANT TO M ORTIZ,(1000.00)
2025-05-12,CHECK 1195 RENT DEPOSIT REFUND FROM ELGIN PROPERTIES,1450.00
